     **********************************************************
                                     位移输出文件
     **********************************************************

     采用强制刚性楼板假定模型计算结果
     单位    : mm

     Floor   : 层号
     Tower   : 塔号
     Jmax    : 最大位移对应的节点号
     JmaxD   : 最大层间位移对应的节点号
     Max-(Z) : Z方向的节点最大位移
     h       : 层高
     Max-(X)，Max-(Y)   : X,Y方向的节点最大位移
     Ave-(X)，Ave-(Y)   : X,Y方向的层平均位移
     Max-Dx ，Max-Dy    : X,Y方向的最大层间位移
     Ave-Dx ，Ave-Dy    : X,Y方向的平均层间位移
     Ratio-(X),Ratio-(Y): 最大位移与层平均位移的比值
     Ratio-Dx,Ratio-Dy  : 最大层间位移与平均层间位移的比值
     Max-Dx/h，Max-Dy/h : X,Y方向的最大层间位移角
     DxR/Dx,DyR/Dy      : X,Y方向的有害位移角占总位移角的百分比例
     Ratio_AX,Ratio_AY  : 本层位移角与上层位移角的1.3倍及上三层平均位移角的1.2倍的比值的大者
     X-Disp，Y-Disp，Z-Disp:节点X,Y,Z方向的位移

  === 工况17 === X 方向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

   31     1    31000135     81.09    77.69         3150
               31000135      2.71     2.67       1/1162      2.10%    1.00
   30     1    30000135     78.58    75.19         3150
               30000135      2.77     2.73       1/1137      2.37%    0.79
   29     1    29000135     76.03    72.66         3150
               29000135      2.84     2.79       1/1110      2.54%    0.86
   28     1    28000135     73.43    70.08         3150
               28000135      2.92     2.86       1/1081      2.45%    0.87
   27     1    27000135     70.78    67.45         3150
               27000135      2.99     2.93       1/1053      2.23%    0.87
   26     1    26000135     68.07    64.77         3150
               26000135      3.06     3.00       1/1028      1.93%    0.87
   25     1    25000135     65.30    62.03         3150
               25000135      3.13     3.06       1/1007      1.61%    0.87
   24     1    24000135     62.47    59.25         3150
               24000135      3.18     3.10       1/ 990      1.28%    0.86
   23     1    23000135     59.59    56.41         3150
               23000135      3.23     3.14       1/ 976      0.96%    0.86
   22     1    22000135     56.66    53.52         3150
               22000135      3.26     3.17       1/ 965      0.64%    0.85
   21     1    21000135     53.67    50.60         3150
               21000135      3.29     3.20       1/ 958      0.34%    0.85
   20     1    20000135     50.65    47.64         3150
               20000135      3.31     3.21       1/ 953      0.05%    0.84
   19     1    19000135     47.59    44.65         3150
               19000135      3.31     3.20       1/ 952      0.18%    0.84
   18     1    18000135     44.50    41.65         3150
               18000135      3.31     3.20       1/ 952      0.42%    0.83
   17     1    17000135     41.39    38.63         3150
               17000135      3.30     3.19       1/ 954      0.68%    0.83
   16     1    16000135     38.26    35.60         3150
               16000135      3.29     3.16       1/ 958      0.98%    0.82
   15     1    15000135     35.13    32.57         3150
               15000135      3.26     3.13       1/ 965      1.38%    0.82
   14     1    14000135     31.99    29.55         3150
               14000135      3.23     3.09       1/ 976      1.66%    0.81
   13     1    13000135     28.87    26.56         3150
               13000135      3.18     3.04       1/ 989      2.14%    0.81
   12     1    12000135     25.76    23.60         3150
               12000135      3.13     2.97       1/1007      2.76%    0.80
   11     1    11000135     22.70    20.69         3150
               11000135      3.06     2.89       1/1031      3.59%    0.79
   10     1    10000135     19.70    17.85         3150
               10000135      2.96     2.79       1/1064      4.42%    0.78
    9     1     9000135     16.77    15.10         3150
                9000135      2.85     2.67       1/1106      5.73%    0.77
    8     1     8000135     13.95    12.46         3150
                8000135      2.71     2.51       1/1164      7.50%    0.75
    7     1     7000135     11.26     9.97         3150
                7000135      2.53     2.33       1/1246     10.15%    0.73
    6     1     6000135      8.74     7.66         3150
                6000135      2.31     2.09       1/1364     13.89%    0.70
    5     1     5000135      6.44     5.58         3150
